run_idx,seed,best_MRT1,best_MRT2,best_Pe1,best_Pe2,best_fr1,best_fr2,best_J,nit,nfev,success,message
557,657,11.462250148620491,47.34375800281269,14.633008420061419,2.2770337192761403,0.2839521594808647,0.6444590139359848,0.032511127346330784,500,106789,False,Maximum number of iterations has been exceeded.
558,658,11.86984449222091,51.71898881546206,13.31518823267195,2.3732154278673576,0.32397387307383324,0.613275671944672,0.03411522364326,500,114094,False,Maximum number of iterations has been exceeded.
559,659,11.71635488301149,49.690711721140616,13.509263319685934,2.5589646612645964,0.31966105657133104,0.6099165107829791,0.03363919329106707,500,106993,False,Maximum number of iterations has been exceeded.
560,660,11.784835991320985,50.176970617190335,13.29751027940053,2.4460240307370924,0.3203141494185511,0.6103838215121347,0.03305752327495573,500,107793,False,Maximum number of iterations has been exceeded.
561,661,11.800876085901905,52.59317547491871,13.211513116155485,2.2811976655896338,0.31767488451385917,0.6317089552605992,0.0345429343235733,500,107219,False,Maximum number of iterations has been exceeded.
562,662,11.387287407675803,46.45717949458594,16.091758934712473,2.1995189694166832,0.2621220412079625,0.6636858561718914,0.03273605353859625,500,104106,False,Maximum number of iterations has been exceeded.
563,663,11.573987849316715,49.17355226808148,14.026579326998565,2.598313933985427,0.31741133900289686,0.6119104555582372,0.033792952445503545,500,106314,False,Maximum number of iterations has been exceeded.
564,664,11.680832907798134,48.80693065274558,14.313585688660758,2.27862186986453,0.2944931333712185,0.6336068458209968,0.03290992060168194,500,106919,False,Maximum number of iterations has been exceeded.
565,665,11.495826725212964,48.784437041282004,14.362299100995346,2.4688413158055553,0.30205677705423517,0.6266393168030723,0.03354057600634642,500,105654,False,Maximum number of iterations has been exceeded.
566,666,11.54982656367429,47.025136640046064,14.993405803798536,2.27470638396402,0.28015258121343245,0.6384013594157016,0.032720262642941256,500,107609,False,Maximum number of iterations has been exceeded.
567,667,11.725795374440594,48.115567467079416,13.92256053147046,2.2121277938259745,0.28726522017871864,0.6399180856653717,0.034457003403213664,500,105065,False,Maximum number of iterations has been exceeded.
568,668,11.713409216801054,48.97342953448667,13.890245918813063,2.3810525362720796,0.3064499567342369,0.6268058515853175,0.0331642606378844,500,107960,False,Maximum number of iterations has been exceeded.
569,669,11.458739878901245,48.02927284602475,15.063925213059552,2.1912071111134566,0.27404980606210555,0.6501194901151448,0.03203374685640139,500,106870,False,Maximum number of iterations has been exceeded.
570,670,11.72397748674964,48.30960167137857,13.796106800205225,2.564773744902201,0.31807190670901464,0.6084224591384897,0.03375901781040785,500,105451,False,Maximum number of iterations has been exceeded.
571,671,11.592945666970895,49.496377883463154,14.17195922646223,2.298501778971456,0.299864469173884,0.6338989139161191,0.03160487809678295,500,107176,False,Maximum number of iterations has been exceeded.
572,672,11.698808329785411,50.17370736532661,13.882799708938323,2.501377316643964,0.32003090851076993,0.6047329850134205,0.033234883602151294,500,105731,False,Maximum number of iterations has been exceeded.
573,673,11.743660757436409,49.237770293353584,13.709179710496963,2.693005221035296,0.3304477548643876,0.5941072672712046,0.03348453426565489,500,110492,False,Maximum number of iterations has been exceeded.
574,674,11.57937772750656,49.0407716440302,14.07430931030807,2.490707583825099,0.30906777518806655,0.6245187448302272,0.032814877487292234,500,106581,False,Maximum number of iterations has been exceeded.
575,675,11.559468099307924,47.787940813126596,13.804953223246518,2.5017223853422443,0.30378411978499403,0.6177542187701556,0.03372580200187317,500,103991,False,Maximum number of iterations has been exceeded.
576,676,11.322622075024732,46.18144838357603,16.55659036817141,2.0863961712606773,0.25088634746689575,0.6742993642921608,0.03259598119369996,500,104086,False,Maximum number of iterations has been exceeded.
