run_idx,seed,best_MRT1,best_MRT2,best_Pe1,best_Pe2,best_fr1,best_fr2,J_m
281,381,11.597552912688101,48.799185358757754,14.183677633182814,2.396234680628467,0.30440556795147805,0.6142720394023967,0.03280303671428642
282,382,11.569497041719796,50.12530748531886,14.735434126265423,2.275790438992445,0.2974531237830481,0.6279754988755207,0.03390809252575646
283,383,11.523313274263138,49.53197015438397,14.66348984983464,2.1689959423278182,0.2866913344605164,0.656653173969648,0.03183217553225196
284,384,11.561091353853566,48.97305808322808,14.766344470941831,2.372306715990046,0.2969919043424758,0.628025573929713,0.03315167994977103
285,385,11.511867011664158,49.36101949787992,15.31751524905984,1.9368775579392263,0.26527356270492775,0.6824324009439977,0.033105630225789544
286,386,11.61005660743827,47.97663011356059,14.587294528654919,2.2238506640049103,0.2857741601572514,0.6305512329142217,0.03318523444507226
287,387,11.588867448955241,47.00418685874426,13.91743220152955,2.556198214057151,0.3016687686824168,0.6158661112490019,0.03397506326984947
288,388,11.767242781078991,52.35065784388175,13.392945200689667,2.11286080825181,0.3066777901000818,0.6351062768977396,0.03367355071113852
289,389,11.615746112250552,48.718949111350256,13.952719454412529,2.4017087179071694,0.30445048357635396,0.6294563697687724,0.0323937028672335
290,390,11.804192537599715,50.17838465427174,13.270333661095476,2.3448204823231364,0.3170695185691327,0.6103963535244714,0.03369644267908118
291,391,11.470901611125857,48.23936695732776,14.840887243611103,2.0720735621868656,0.265111084132098,0.6683421652994507,0.03224779540302269
292,392,11.563638491435338,49.59297214183443,14.775096319270979,2.3221900914978555,0.29957614445815434,0.6301600044076543,0.0330176427221379
293,393,11.481525920962913,50.46990757670214,15.538807680010773,1.961129194399021,0.26727988415745485,0.6806799206295391,0.03155861682723594
294,394,11.602448817207073,48.39072991472036,14.489590974217482,2.259802016910651,0.2906698303084113,0.6333299459010341,0.031949483960605776
295,395,11.606038245150298,48.075495793998655,14.224140702337468,2.3607437590586358,0.29501721898206656,0.6250288769373594,0.03234092483901221
296,396,11.584772417485262,48.13451093694532,14.615189216392263,2.380083425945589,0.2944704542898258,0.6344418738286653,0.03270187961532095
297,397,11.504995501746148,49.979709063054315,14.984495138271939,2.0573493068005213,0.27454236336675764,0.675082010115275,0.03179959812929045
298,398,11.562701861881738,48.25121609495914,14.298038979024223,2.347105641026044,0.29747767393635205,0.6367971598692017,0.032599177265140805
299,399,11.561497155231468,48.236782264334224,14.40923602538405,2.3625128075184527,0.29744481452815896,0.6317462625675649,0.03193516630630292
300,400,11.656195985897565,49.368698507102664,13.900176021624299,2.4144038108492225,0.3074760894780084,0.6235101062320503,0.032208071792511665
301,401,11.607082786895031,50.60021943880291,13.999430920598293,2.153690285813674,0.29566203263083835,0.6493379586707823,0.03233183395390662
302,402,11.559833192213326,48.7408697982292,14.532615886176156,2.172370178007757,0.287893662940777,0.644201175640023,0.0324632694378702
